sample	feature	feature_Mb	selected_sites_feature	callable_selected_sites	missing_genotypes_selected_sites	load_raw	n_del_alleles	burden_per_callable_site	n_del_alleles_per_callable_site	burden_per_Mb	n_del_alleles_per_Mb
PI152651_PI152651	exon	62.252916	5835	5728	107	14236.501102	2116.0	2.48542268	0.36941341	228.68810037	33.99037565
PI152651_PI152651	intron	57.794743	3078	3003	75	7726.985538	1200.0	2.57308876	0.39960040	133.69703085	20.76313411
PI152651_PI152651	upstream_2kb	50.472471	5342	5188	154	12765.652584	2009.0	2.46061152	0.38723978	252.92307531	39.80387645
PI152651_PI152651	downstream_2kb	33.923341	3170	3078	92	7383.634278	1152.0	2.39884155	0.37426901	217.65645896	33.95891932
PI152651_PI152651	intergenic	512.484706	199249	191858	7391	485418.887504	75711.0	2.53009459	0.39461998	947.18707080	147.73318913
PI17548_PI17548	exon	62.252916	5835	5765	70	15977.641240	2371.0	2.77149024	0.41127493	256.65691291	38.08656931
PI17548_PI17548	intron	57.794743	3078	3004	74	7763.478887	1198.0	2.58438045	0.39880160	134.32846110	20.72852889
PI17548_PI17548	upstream_2kb	50.472471	5342	5198	144	14515.448794	2277.0	2.79250650	0.43805310	287.59140391	45.11370169
PI17548_PI17548	downstream_2kb	33.923341	3170	3068	102	8034.016058	1261.0	2.61864930	0.41101695	236.82856174	37.17204623
PI17548_PI17548	intergenic	512.484706	199249	190596	8653	468756.963073	73193.0	2.45942708	0.38402170	914.67502851	142.81987178
PI24969_PI24969	exon	62.252916	5835	5787	48	16609.490238	2456.0	2.87013828	0.42439952	266.80662217	39.45196720
PI24969_PI24969	intron	57.794743	3078	3024	54	8856.465388	1362.0	2.92872533	0.45039683	153.23998219	23.56615722
PI24969_PI24969	upstream_2kb	50.472471	5342	5211	131	14868.316158	2335.0	2.85325584	0.44809058	294.58268762	46.26284297
PI24969_PI24969	downstream_2kb	33.923341	3170	3086	84	9512.471917	1498.0	3.08246012	0.48541802	280.41082146	44.15838640
PI24969_PI24969	intergenic	512.484706	199249	192684	6565	637671.110580	99490.0	3.30941391	0.51633763	1244.27344488	194.13262256
PI276837_PI276837	exon	62.252916	5835	5784	51	13961.075314	2079.0	2.41374055	0.35943983	224.26379697	33.39602598
PI276837_PI276837	intron	57.794743	3078	3035	43	8611.797976	1345.0	2.83749521	0.44316310	149.00659694	23.27201282
PI276837_PI276837	upstream_2kb	50.472471	5342	5259	83	12824.352419	2024.0	2.43855342	0.38486404	254.08608227	40.10106816
PI276837_PI276837	downstream_2kb	33.923341	3170	3119	51	7543.068120	1192.0	2.41842517	0.38217377	222.35628619	35.13804846
PI276837_PI276837	intergenic	512.484706	199249	193389	5860	586986.850692	91602.0	3.03526494	0.47366706	1145.37437668	178.74094373
PI329435_PI329435	exon	62.252916	5835	5786	49	12922.543878	1921.0	2.23341581	0.33200830	207.58134250	30.85799226
PI329435_PI329435	intron	57.794743	3078	3037	41	7018.654542	1081.0	2.31104858	0.35594337	121.44105463	18.70412331
PI329435_PI329435	upstream_2kb	50.472471	5342	5260	82	12516.699523	1972.0	2.37960067	0.37490494	247.99062290	39.07080357
PI329435_PI329435	downstream_2kb	33.923341	3170	3133	37	6812.633061	1077.0	2.17447592	0.34375997	200.82435456	31.74805217
PI329435_PI329435	intergenic	512.484706	199249	195845	3404	400028.641658	62456.0	2.04257776	0.31890526	780.56698468	121.86900266
PI329440_PI329440	exon	62.252916	5835	5791	44	15783.576042	2321.0	2.72553549	0.40079434	253.53954572	37.28339408
PI329440_PI329440	intron	57.794743	3078	3035	43	8572.351629	1329.0	2.82449807	0.43789127	148.32407212	22.99517103
PI329440_PI329440	upstream_2kb	50.472471	5342	5246	96	13118.959775	2069.0	2.50075482	0.39439573	259.92307321	40.99264330
PI329440_PI329440	downstream_2kb	33.923341	3170	3114	56	7714.455689	1210.0	2.47734608	0.38856776	227.40848811	35.66865657
PI329440_PI329440	intergenic	512.484706	199249	193799	5450	547399.028693	85367.0	2.82457097	0.44049247	1068.12754075	166.57472701
PI34911_PI34911	exon	62.252916	5835	5781	54	14717.390876	2180.0	2.54582094	0.37709739	236.41287543	35.01843994
PI34911_PI34911	intron	57.794743	3078	3017	61	8143.114075	1268.0	2.69907659	0.42028505	140.89714137	21.93971171
PI34911_PI34911	upstream_2kb	50.472471	5342	5235	107	12673.327567	1997.0	2.42088397	0.38147087	251.09386001	39.56612309
PI34911_PI34911	downstream_2kb	33.923341	3170	3091	79	7275.084353	1142.0	2.35363454	0.36945972	214.45659945	33.66413703
PI34911_PI34911	intergenic	512.484706	199249	192394	6855	510416.231643	79570.0	2.65297375	0.41357839	995.96383203	155.26316994
PI35038_PI35038	exon	62.252916	5835	5782	53	16028.837230	2383.0	2.77219599	0.41214113	257.47929993	38.27933136
PI35038_PI35038	intron	57.794743	3078	3003	75	8251.812873	1273.0	2.74785643	0.42390942	142.77791447	22.02622477
PI35038_PI35038	upstream_2kb	50.472471	5342	5238	104	14007.064705	2197.0	2.67412461	0.41943490	277.51890144	43.52867923
PI35038_PI35038	downstream_2kb	33.923341	3170	3103	67	7803.646612	1229.0	2.51487161	0.39606832	230.03767855	36.22874292
PI35038_PI35038	intergenic	512.484706	199249	193400	5849	429270.850583	67004.0	2.21960109	0.34645295	837.62665609	130.74341383
PI48770_PI48770	exon	62.252916	5835	5815	20	15748.308989	2328.0	2.70822167	0.40034394	252.97303324	37.39583861
PI48770_PI48770	intron	57.794743	3078	3051	27	7641.497621	1169.0	2.50458788	0.38315306	132.21786662	20.22675315
PI48770_PI48770	upstream_2kb	50.472471	5342	5287	55	13533.807895	2130.0	2.55982748	0.40287498	268.14236804	42.20122292
PI48770_PI48770	downstream_2kb	33.923341	3170	3132	38	7608.989020	1196.0	2.42943455	0.38186462	224.29951755	35.25596137
PI48770_PI48770	intergenic	512.484706	199249	197200	2049	425326.536719	66416.0	2.15682828	0.33679513	829.93020424	129.59606252
PI533750_PI533750	exon	62.252916	5835	5780	55	14549.879265	2167.0	2.51728015	0.37491349	233.72205192	34.80961438
PI533750_PI533750	intron	57.794743	3078	3022	56	6649.706597	1024.0	2.20043236	0.33884844	115.05729157	17.71787444
